what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1648126885148
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1648126885148
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1648126885148
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1648126885148
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1648126885148
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1648126885148
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1648126885148
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1648126885152
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1648126885152
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1648126885152
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1648126885152
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1648126885152
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1648126885152
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1648126885152
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1648126885152
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1648126885152
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1648126885152
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1648126885152
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1648126885152
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1648126885156
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1648126885156
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1648126885156
os,sysinfo,,,"win32",1648126885156
arch,sysinfo,,,"x86",1648126885156
ws,sysinfo,,,"win32",1648126885156
locale,sysinfo,,,"pt_BR",1648126885156
processors,sysinfo,,,"6",1648126885156
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648126885156
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1648126885156
java.specification.name,sysinfo,,,"Java Platform API Specification",1648126885156
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648126885156
java.specification.version,sysinfo,,,"1.6",1648126885156
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1648126885156
java.version,sysinfo,,,"1.6.0_23",1648126885156
java.vm.info,sysinfo,,,"mixed mode",1648126885156
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648126885156
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648126885156
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648126885156
java.vm.specification.version,sysinfo,,,"1.0",1648126885156
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1648126885156
java.vm.version,sysinfo,,,"19.0-b09",1648126885156
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648126888867
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1648126904360
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1648126904402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1648126937969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1648126939794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648126946062
